batting_team,total_plays,plays_sent,plays_held,send_rate,model_says_send,decisions_correct,pct_correct,avg_decision_value_wp,total_decision_value_wp,avg_run_value,coach_missed_opportunity,sent_should_hold,total_coach_mistakes,runner_hesitation,held_should_send,total_decision_value_re
TOR,168,110,58,65.47619047619048,68,98,58.333333333333336,0.010546687455110278,1.771843492458527,0.08893751726190476,0.0,56.0,56.0,14.0,0.0,35.72024085084806
KC,126,85,41,67.46031746031747,55,68,53.96825396825397,0.013515750253562513,1.7029845319488766,0.09192897904761906,0.0,44.0,44.0,14.0,0.0,30.62997023478515
TEX,131,102,29,77.86259541984732,62,79,60.30534351145038,0.01226475387925134,1.6066827581819256,0.09029662213740458,0.0,46.0,46.0,6.0,0.0,43.765659067585034
MIN,139,97,42,69.7841726618705,59,75,53.956834532374096,0.011252504078294291,1.5640980668829065,0.09380321227537314,2.0,51.0,53.0,11.0,2.0,37.25585854792138
LAA,116,79,37,68.10344827586206,57,66,56.896551724137936,0.013314257021902622,1.544453814540704,0.09801901637931035,1.0,36.0,37.0,13.0,1.0,30.54158270923734
BOS,142,103,39,72.53521126760563,57,78,54.929577464788736,0.009765300728268027,1.3866727034140598,0.09172864718309859,0.0,55.0,55.0,9.0,0.0,40.43205321715137
STL,135,85,50,62.96296296296296,49,81,60.0,0.009965805489376303,1.345383741065801,0.09390240309214816,0.0,45.0,45.0,9.0,0.0,31.595543155402567
ATL,135,96,39,71.11111111111111,47,70,51.85185185185185,0.009383122240249191,1.2667215024336407,0.08831857624888889,1.0,57.0,58.0,7.0,1.0,35.09122164736368
MIA,139,107,32,76.97841726618705,61,75,53.956834532374096,0.00884279711456979,1.229148798925201,0.09449172998561152,0.0,55.0,55.0,9.0,0.0,46.5173991622182
PHI,113,77,36,68.14159292035397,50,64,56.63716814159292,0.01084807560355402,1.2258325432016042,0.08935359734513275,0.0,38.0,38.0,11.0,0.0,28.69152453779287
CIN,140,97,43,69.28571428571428,50,73,52.142857142857146,0.008736708890098912,1.2231392446138476,0.08490718390564574,0.0,57.0,57.0,10.0,0.0,33.887147916313914
AZ,128,95,33,74.21875,53,72,56.25,0.009093910734778627,1.1640205740516643,0.093524359375,0.0,49.0,49.0,7.0,0.0,36.68777965777429
WSH,142,100,42,70.4225352112676,56,72,50.70422535211267,0.007615754714468707,1.0814371694545564,0.0789845940314952,0.0,57.0,57.0,13.0,0.0,35.196859917986934
SEA,121,78,43,64.46280991735537,37,64,52.892561983471076,0.008880273472298474,1.0745130901481152,0.09330790895867769,1.0,49.0,50.0,7.0,1.0,28.69521826229594
NYY,125,76,49,60.8,35,62,49.6,0.00782997547640867,0.9787469345510837,0.078552748,0.0,52.0,52.0,11.0,0.0,25.997643046116803
BAL,116,87,29,75.0,41,58,50.0,0.007011324416059594,0.8133136322629129,0.08117895080689656,0.0,52.0,52.0,6.0,0.0,33.913057435703834
MIL,152,119,33,78.28947368421053,59,76,50.0,0.005149998336808014,0.7827997471948182,0.07992684156210528,0.0,68.0,68.0,8.0,0.0,51.85470501526635
HOU,113,81,32,71.68141592920354,43,59,52.21238938053098,0.006710286739458025,0.7582624015587569,0.08772831557067667,0.0,46.0,46.0,8.0,0.0,32.14580649484809
COL,109,80,29,73.39449541284404,44,61,55.96330275229357,0.006888390944794023,0.7508346129825485,0.09036510422018348,0.0,42.0,42.0,6.0,0.0,34.97129218936111
SD,139,100,39,71.94244604316546,54,69,49.64028776978417,0.005202861524104072,0.7231977518504661,0.09128459352517986,1.0,58.0,59.0,11.0,1.0,40.32547723223409
NYM,122,82,40,67.21311475409836,36,66,54.09836065573771,0.005896203867399275,0.7193368718227116,0.09083753196721311,0.0,51.0,51.0,5.0,0.0,30.213504252707544
CWS,132,93,39,70.45454545454545,48,69,52.27272727272727,0.005402178323462224,0.7130875386970136,0.08260948181818183,0.0,54.0,54.0,9.0,0.0,31.664635742230363
CHC,140,95,45,67.85714285714286,53,72,51.42857142857142,0.0043446932462735165,0.6082570544782924,0.08131268214285714,0.0,55.0,55.0,13.0,0.0,35.69152505690641
DET,113,93,20,82.30088495575221,43,51,45.13274336283185,0.005135958568947583,0.5803633182910769,0.07993696891327434,0.0,56.0,56.0,6.0,0.0,43.21018698512881
ATH,111,76,35,68.46846846846847,26,57,51.35135135135135,0.0046062658295471706,0.5112955070797359,0.08114028192432433,0.0,52.0,52.0,2.0,0.0,24.897887826722606
SF,115,81,34,70.43478260869566,39,55,47.82608695652174,0.0034442615085987283,0.3960900734888538,0.09040176521739132,0.0,51.0,51.0,9.0,0.0,31.68046548086412
TB,131,96,35,73.2824427480916,47,70,53.43511450381679,0.0030045517258778824,0.3935962760900026,0.09165843353893131,0.0,55.0,55.0,6.0,0.0,39.60099797976466
PIT,130,92,38,70.76923076923077,41,61,46.92307692307692,0.0001958519874329107,0.02546075836627839,0.09085108769230771,0.0,60.0,60.0,9.0,0.0,30.840879524591813
LAD,126,100,26,79.36507936507937,44,54,42.857142857142854,-8.021487869764405e-06,-0.001010707471590315,0.09289835634920636,0.0,64.0,64.0,8.0,0.0,41.035956702835
CLE,112,79,33,70.53571428571429,37,58,51.78571428571429,-0.0004155379102067906,-0.046540245943160544,0.09146972232142858,0.0,48.0,48.0,6.0,0.0,29.418028331769005
